Timestamp,Protocol,MessageID,MessageType,PayloadSize,TotalSize,TransportOverhead,SessionOverhead,PresentationOverhead,ApplicationOverhead,EfficiencyPercent,OverheadPercent
1750232941579,Matter,1,COMMISSIONING,39,147,40,35,8,25,26.5,73.5
1750232941584,Matter,2,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750232944592,Matter,3,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750232947607,Matter,4,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750232950625,Matter,5,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750232953644,Matter,6,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750232961661,Matter,7,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750232964680,Matter,8,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750232967697,Matter,9,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750232970704,Matter,10,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750232973727,Matter,11,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750232981746,Matter,12,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750232984762,Matter,13,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750232987794,Matter,14,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750232990828,Matter,15,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750232993844,Matter,16,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233001861,Matter,17,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233004878,Matter,18,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233007894,Matter,19,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233010912,Matter,20,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233013930,Matter,21,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233021944,Matter,22,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233024959,Matter,23,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233027975,Matter,24,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233030995,Matter,25,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233034016,Matter,26,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233042030,Matter,27,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233045052,Matter,28,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233048074,Matter,29,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233051086,Matter,30,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233054112,Matter,31,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233062129,Matter,32,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233065155,Matter,33,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233068180,Matter,34,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233071191,Matter,35,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233074212,Matter,36,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233082219,Matter,37,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233085229,Matter,38,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233088247,Matter,39,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233091256,Matter,40,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233094279,Matter,41,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233102299,Matter,42,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233105311,Matter,43,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233108334,Matter,44,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233111347,Matter,45,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233114361,Matter,46,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233122385,Matter,47,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233125402,Matter,48,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233128429,Matter,49,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233131452,Matter,50,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233134477,Matter,51,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233142502,Matter,52,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233145531,Matter,53,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233148558,Matter,54,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233151577,Matter,55,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233154604,Matter,56,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233162625,Matter,57,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233165638,Matter,58,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233168660,Matter,59,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233171685,Matter,60,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233174697,Matter,61,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233182718,Matter,62,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233185736,Matter,63,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233188746,Matter,64,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233191766,Matter,65,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233194781,Matter,66,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233202802,Matter,67,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233205825,Matter,68,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233208839,Matter,69,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233211860,Matter,70,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233214894,Matter,71,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233222913,Matter,72,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233225932,Matter,73,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233228954,Matter,74,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233231974,Matter,75,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233234991,Matter,76,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233243020,Matter,77,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233246031,Matter,78,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233249051,Matter,79,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233252074,Matter,80,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233255101,Matter,81,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233263119,Matter,82,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233266139,Matter,83,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233269162,Matter,84,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233272184,Matter,85,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233275204,Matter,86,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233283236,Matter,87,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233286257,Matter,88,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233289280,Matter,89,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233292300,Matter,90,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233295322,Matter,91,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233303356,Matter,92,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233306376,Matter,93,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233309395,Matter,94,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233312426,Matter,95,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233315446,Matter,96,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233323476,Matter,97,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233326511,Matter,98,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233329528,Matter,99,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233332548,Matter,100,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233335566,Matter,101,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233343595,Matter,102,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233346622,Matter,103,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233349638,Matter,104,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233352663,Matter,105,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233355673,Matter,106,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233363698,Matter,107,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233366725,Matter,108,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233369754,Matter,109,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233372775,Matter,110,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233375796,Matter,111,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233383814,Matter,112,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233386834,Matter,113,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233389853,Matter,114,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233392884,Matter,115,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233395904,Matter,116,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233403932,Matter,117,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233406953,Matter,118,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233409966,Matter,119,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233412994,Matter,120,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233416025,Matter,121,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233424055,Matter,122,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233427076,Matter,123,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233430097,Matter,124,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233433105,Matter,125,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233436123,Matter,126,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233444150,Matter,127,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233447171,Matter,128,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233450193,Matter,129,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233453223,Matter,130,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233456246,Matter,131,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233464254,Matter,132,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233467264,Matter,133,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233470281,Matter,134,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233473299,Matter,135,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233476319,Matter,136,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233484336,Matter,137,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233487357,Matter,138,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233490377,Matter,139,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233493398,Matter,140,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233496422,Matter,141,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233504437,Matter,142,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233507457,Matter,143,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233510474,Matter,144,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233513492,Matter,145,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233516511,Matter,146,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233524535,Matter,147,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233527555,Matter,148,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233530576,Matter,149,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233533601,Matter,150,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233536614,Matter,151,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233544636,Matter,152,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233547661,Matter,153,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233550671,Matter,154,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233553680,Matter,155,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233556694,Matter,156,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
1750233564709,Matter,157,ON_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233567725,Matter,158,TEMPERATURE_READ,4,112,40,35,8,25,3.6,96.4
1750233570734,Matter,159,LEVEL_CONTROL,6,114,40,35,8,25,5.3,94.7
1750233573745,Matter,160,OFF_COMMAND,4,112,40,35,8,25,3.6,96.4
1750233576759,Matter,161,DEVICE_INFO,33,141,40,35,8,25,23.4,76.6
